Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,"Achham, Baitadi, Bajhang and Bajura districts ",,5.7,Moment Magnitude,2023,2023,1,23,36250,36273,,
Hydrological,Flood,Flood (General),Sri Lanka,Southern Asia,Asia,"Western, Southern, Northern, Central, North Western, and Sabaragamuwa Provinces; Kandy and Nuwara-Eliya Districts.",Heavy rians,,Km2,2023,2023,,,244504,244504,,
Meteorological,Storm,Severe weather,United States of America,Northern America,Americas,"Nebraska, Texas, Oklahoma, Missouri, and Kentucky",,,Kph,2023,2023,2,,,,1600000,1600000
Meteorological,Storm,Sand/Dust storm,Iran (Islamic Republic of),Southern Asia,Asia,Sistan and Baluchestan Provinces,,,Kph,2023,2023,3,2017,,2017,,
Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Gulran, Injil and Kush districts (Herat province)",,6.3,Moment Magnitude,2023,2023,1,140,,140,,
Climatological,Wildfire,Wildfire (General),Argentina,Latin America and the Caribbean,Americas,"Catamarca, Jujuy Provinces, Córdoba, Tucumán and San Luis Provinces",,,Km2,2023,2023,,,800,800,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Rio do Sul, Tubarão, Blumenau, and Lontras municipalities (Santa Catarina state)",Heavy rains,,Km2,2023,2023,,,26509,26509,1200,1200
Hydrological,Mass movement (wet),Landslide (wet),Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Lisal City (Mongala Province),Heavy rains,,,2023,2023,17,,,,,
Hydrological,Flood,Flood (General),Nigeria,Sub-Saharan Africa,Africa,Emirates of Dukku and Nafada in Gombe State,Torrential rains,,Km2,2023,2023,,,1336,1336,,
Meteorological,Storm,Tropical cyclone,Mexico,Latin America and the Caribbean,Americas,Acapulco (central Guerrero State),,270,Kph,2023,2023,104,,988000,988000,12000000,12000000
Meteorological,Storm,Tropical cyclone,Solomon Islands,Melanesia,Oceania,,,,Kph,2023,2023,,,22319,22319,,
Meteorological,Storm,Tropical cyclone,Vanuatu,Melanesia,Oceania,"Penama, Malampa, Sanma, Shefa and Torba Provinces; Pentecost Island (Penama Province)",,205,Kph,2023,2023,,,91000,91000,,
Hydrological,Flood,Flood (General),Somalia,Sub-Saharan Africa,Africa,"Baidoa, Jowhar, and Luuq","Heavy rains, El Nino",,Km2,2023,2023,4,,278000,278000,,
Meteorological,Storm,Tropical cyclone,Yemen,Western Asia,Asia,"Hadramout, Shabwa, Al-Mahara, Al Mahrah, Socotra Governorates",,,Kph,2023,2023,7,150,90000,90150,,
Meteorological,Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,Cox's Bazar district,,110,Kph,2023,2023,3,,1500000,1500000,250000,250000
Hydrological,Flood,Flood (General),Ghana,Sub-Saharan Africa,Africa,"South, Central, and North Tongu Districts (Volta region)",,,Km2,2023,2023,,7,40857,40864,,
Hydrological,Flood,Flood (General),Nigeria,Sub-Saharan Africa,Africa," Fufore, Demsa, Shelleng (Adamawa State)",Heavy rains,,Km2,2023,2023,275,,30000,30000,,
Meteorological,Storm,Tropical cyclone,Honduras,Latin America and the Caribbean,Americas,,,,Kph,2023,2023,1,,,,,
