Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Climatological,Wildfire,Wildfire (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Beni, La Paz, Santa Cruz, Suárez, Carmen Rivero Torrez, San José de Chiquitos, Urubicha departments",0,0.0,Km2,2023,2023,12.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,Bulgaria,Eastern Europe,Europe,0,0,0.0,Kph,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,France,Western Europe,Europe,"Clermont-Ferrand, Lorient, Tusson, Noirmoutier, Saint-Nazaire, Montlucon, Chassiron, Châteauroux",0,126.0,Kph,2023,2023,0.0,0.0,0.0,0.0,40000.0,40000.0
Meteorological,Storm,Extra-tropical storm,Türkiye,Western Asia,Asia,"Diyarbakir; Batman; Eregli City (Zonguldak) Türkiye's Black Sea, Sakarya provinces",0,0.0,Kph,2023,2023,20.0,0.0,0.0,0.0,0.0,0.0
Geophysical,Earthquake,Ground movement,Philippines,South-eastern Asia,Asia,"Glan, Kiamba, Polompok, and General Santos City (Davao Occidental in Region XI, southern Mindanao)",0,6.7,Moment Magnitude,2023,2023,11.0,37.0,99541.0,99578.0,25393.0,25393.0
Hydrological,Flood,Flood (General),Dominican Republic,Latin America and the Caribbean,Americas,"Azua, Barahona, Distrito Nacional, Duarte, Monte Plata, San Cristobal, San Pedro de Macoris, Santo Domingo, San José de Ocoa, Bahoruco, San Juan de la Maguana, Sánchez Ramírez, Peravia ",Extreme rainfall from a tropical disturbance,0.0,Km2,2023,2023,34.0,0.0,22236.0,22236.0,17500.0,17500.0
Hydrological,Flood,Flood (General),Haiti,Latin America and the Caribbean,Americas,Grand'Anse Department,Extreme rainfall from a tropical disturbance,0.0,Km2,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Hydrological,Mass movement (wet),Landslide (wet),Guatemala,Latin America and the Caribbean,Americas,Las Calaveras,Heavy rains,0.0,0,2023,2023,86.0,0.0,123325.0,123325.0,0.0,0.0
Hydrological,Flood,Flood (General),Democratic Republic of the Congo,Sub-Saharan Africa,Africa," Baraka City, Fizi territory (South-Kivu Province); Dungu Town area (Haut-Uele Province)",Heavy rains,0.0,Km2,2023,2023,4.0,20.0,3600.0,3620.0,0.0,0.0
Hydrological,Flood,Flood (General),Uruguay,Latin America and the Caribbean,Americas,"Artigas, Paysandú, and Salto Departments",Heavy rains,0.0,Km2,2023,2023,0.0,0.0,3472.0,3472.0,0.0,0.0
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Arroio do Meio, Colinas, Cruzeiro do Sul, Encantado, Estrela, Lajeado, Muçum, Roca Sales, Santa Tereza and Taquari (Rio Grande do Sul)",Heavy rains,0.0,Km2,2023,2023,4.0,63.0,194000.0,194063.0,0.0,0.0
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Potosí, La Paz and Chuquisaca Departments",Heavy rains,0.0,Km2,2023,2023,14.0,0.0,8900.0,8900.0,0.0,0.0
Meteorological,Storm,Severe weather,Sri Lanka,Southern Asia,Asia,"Kurunegala, Kilinochchi Districts",0,0.0,Kph,2023,2023,1.0,3.0,2000.0,2003.0,0.0,0.0
Hydrological,Flood,Flood (General),United States of America,Northern America,Americas,Portland City area (Oregon State); Snohomish and Wahkiakum Counties (Washington State),Heavy rains and snow,0.0,Km2,2023,2023,3.0,0.0,126.0,126.0,0.0,0.0
Geophysical,Earthquake,Ground movement,Philippines,South-eastern Asia,Asia,"Hinatuan Municipality( Surigao Del Sur Province, Caraga Region, Mindanao)",0,7.6,Moment Magnitude,2023,2023,3.0,79.0,720997.0,721076.0,22712.0,22712.0
Meteorological,Storm,Tropical cyclone,India,Southern Asia,Asia," Andra Pradesh, Telangana, Tamil Nadu States ",0,110.0,Kph,2023,2023,20.0,0.0,4390000.0,4390000.0,125000.0,125000.0
Hydrological,Mass movement (wet),Landslide (wet),United Republic of Tanzania,Sub-Saharan Africa,Africa,"Katesh, Hanang District, western Manyara Region (North); Morogoro",Heavy rains,0.0,0,2023,2023,89.0,139.0,6202.0,6341.0,0.0,0.0
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,"Eastern Visayas, Western Visayas and Bicol Regions",Low-Pressure Area (LPA) in combination with the Shear Line,0.0,Km2,2023,2023,2.0,1.0,1157487.0,1157488.0,2160.0,2160.0
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,Sumedang Regency (Java Island); Ketapang Regency (Kalimantan),0,0.0,Km2,2023,2023,0.0,0.0,17750.0,17750.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Bulgaria,Eastern Europe,Europe,Northeastern,0,0.0,Kph,2023,2023,2.0,36.0,0.0,36.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Germany,Western Europe,Europe,"Schwabisch Hall (Bade Wurtemberg); Denzeheide (Rhénanie-Palatinat); Hessen, Saxony-Anhalt and Brandenburg, Bavaria, Thuringia and Saxony-Anhalt States, Berlin",0,0.0,Kph,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Republic of Moldova,Eastern Europe,Europe,"Coscalia, Cruglic, Grigoriopol",0,0.0,Kph,2023,2023,4.0,10.0,0.0,10.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Romania,Eastern Europe,Europe,"Constanta, Tulcea, Galati, and Braila ",0,0.0,Kph,2023,2023,0.0,0.0,0.0,0.0,0.0,0.0
